BC Sample				
Zeta: LAICPMS ratio				
zeta	sig zeta			
17.933	0.408			
Ns	Area (cm²)	Pcorr	sig(Pcorr)	Dpar
1	4.85E-05	2.02E-02	2.99E-03	1.42
1	4.85E-05	1.92E-02	3.12E-03	1.52
0	4.85E-05	3.92E-02	5.96E-03	1.53
0	4.85E-05	2.55E-02	4.46E-03	1.31
2	4.85E-05	7.94E-02	1.19E-02	1.51
2	4.85E-05	4.61E-02	7.18E-03	1.41
2	4.85E-05	3.57E-02	5.94E-03	1.37
2	4.85E-05	3.17E-02	4.77E-03	1.43
4	4.85E-05	3.15E-02	4.94E-03	1.54
2	4.85E-05	7.61E-02	1.14E-02	1.39
1	4.85E-05	4.05E-02	6.36E-03	1.4
0	3.88E-05	2.02E-02	3.30E-03	1.31
2	4.37E-05	2.66E-02	4.05E-03	1.34
3	4.85E-05	4.53E-02	8.45E-03	1.56
0	4.85E-05	1.48E-02	3.14E-03	1.44
2	4.85E-05	4.46E-02	6.99E-03	1.3
1	4.85E-05	5.05E-02	7.03E-03	1.33
1	4.85E-05	5.06E-02	8.26E-03	1.56
2	4.85E-05	3.94E-02	5.81E-03	1.24
0	4.85E-05	2.05E-02	2.93E-03	1.34
2	4.85E-05	5.33E-02	7.38E-03	1.26
1	4.85E-05	4.56E-02	7.64E-03	1.42
2	4.85E-05	2.81E-02	4.31E-03	1.47
3	4.85E-05	3.58E-02	5.81E-03	1.17
3	4.85E-05	8.77E-02	1.40E-02	1.51
0	4.85E-05	3.76E-02	6.03E-03	1
