Sevier sample		
length	angle	Dpar
5	85	2.22
11.2200003	14.2399998	2.22
8.7700005	23.2000008	2.22
13.1099997	85.6900024	2.22
14.8699999	88.5999985	2.27
12.6300001	70.1100006	2.03
15.6400003	50.5900002	2.03
13.8699999	55.5699997	2.1199999
9.6700001	40.8199997	2.1199999
12.3999996	61.6699982	1.78
14.6400003	86.0999985	2.6099999
7.9899998	62.4199982	2.0999999
15.5600004	61.0900002	1.86
13.6700001	83.8099976	1.86
13.3299999	80.0899963	1.86
12.21	61.7700005	1.86
14.1099997	63.2900009	2.1500001
9.5299997	71.4100037	3.3699999
11.4399996	60.8199997	2.23
9.2799997	37.5699997	2.52
7.5799999	67.4599991	2.46
13.6300001	20.0300007	2.46
15.3699999	33.4099998	2.29
12.0500002	68.7399979	2.29
14.3699999	49.5900002	1.76
11.6800003	0.47	2.29
8.1800003	53.7599983	2.29
11.8699999	59.1500015	2.8099999
11.4399996	70.5699997	2.8099999
8.0699997	27.2900009	2.21
13.3800001	80.5599976	1.7
13.6000004	71.7300034	2.0699999
16.3500004	59.5999985	2.0699999
14.6499996	58.7400017	2.25
11.5799999	26.9699993	2.6199999
8.4899998	51.6699982	2.6199999
8.5600004	56.7900009	2.3900001
8.6700001	39.1800003	2.3900001
12.7799997	65.7399979	1.6799999
13.7299995	73.9700012	1.6799999
15.6599998	63.0200005	2.54
14.1999998	53.5299988	2.98
11.0500002	66.3300018	2.98
11.1800003	55.6199989	2.98
10.5699997	46.6800003	2.5699999
15.3699999	68.6800003	2.5699999
11.0500002	31.1800003	2.5699999
13.3800001	65.2099991	1.53
13.8900003	57.4099998	2.9300001
14.8800001	48.5800018	2.6400001
14.9399996	33.5900002	1.75
15.1800003	85.75	1.85
10.8199997	61.5600014	1.85
14.0799999	53.5299988	1.9
12.6899996	40.5200005	1.9
12.5299997	76.1699982	1.9
10.1199999	32.9000015	2.76
13.6899996	78.8600006	2.76
11.5900002	47.7299995	2.76
13.2799997	52.7200012	1.91
14.0799999	77.0299988	2.45
14.6199999	12.2700005	2.3900001
7.1599998	65.1100006	2.3900001
12.6800003	65.6600037	1.88
13.9499998	73.4199982	1.88
15.4300003	29.6900005	2.3399999
15.6999998	76.9100037	2.3399999
7.7199998	51.4599991	2.5
12.2600002	67.6900024	2.5
11.21	68.2799988	1.9400001
16.0400009	48.6399994	2.3900001
14.2200003	84.75	2.2
14.3100004	81.5400009	2.73
14.9200001	46.8499985	2.73
9.3299999	82.6900024	2.73
8.75	74.4599991	2.73
14.8000002	25.1800003	1.8099999
12.46	13.3699999	2.4400001
10.0200005	82.3099976	2.4400001
10.7700005	41.75	2.4400001
14.3699999	41.9900017	1.88
15.6499996	51.0200005	1.88
14.3999996	47.1199989	2.3399999
13.7299995	21.4699993	2.1500001
9.5299997	47.7900009	2.1500001
7.02	59.5	2.1500001
7.5	42.5600014	2.75
8.4099998	30.1700001	2.75
13.71	41.5999985	1.55
13.3199997	85.6699982	2.8199999
10.6999998	62.7400017	2.8199999
5.7199998	76.9700012	2.8199999
11.9300003	71.7399979	2.8199999
13.8900003	84.1800003	2.8199999
8.5600004	89.9000015	2.8199999
9.9899998	82.9400024	2.8199999
7.9000001	76.9599991	2.8199999
8.7299995	50.8899994	2.8199999
14.1700001	60.8600006	1.84
15.5100002	38.5099983	2.3499999
13.9200001	40.0299988	2.04
11.8500004	63.7700005	1.9299999
4.1799998	62.6599998	1.9299999
14.9499998	24.6000004	2.3399999
9.1800003	47.9399986	2.3399999
8.1300001	70.9700012	2.3399999
8.8000002	69.8600006	2.3399999
16.0300007	52.4000015	2.3399999
9.2600002	46.9300003	2.3399999
6.4499998	83.8799973	2.3399999
17.2199993	51.0900002	2.05
15.3500004	69.6999969	2.1400001
13.5900002	62.2700005	2.1199999
15.3800001	59.2999992	2.0599999
9.6499996	60.4700012	2.21
10.4499998	41.9700012	2.1600001
5.2399998	72.4700012	2.1600001
9.7600002	39.4599991	2.1600001
14.5900002	59.6500015	1.5
15.1800003	53.7099991	1.5
10.5500002	41.0600014	2.28
15.2399998	75.8000031	2.25
16.3799992	39.5999985	2.25
8.9700003	82.0299988	1.73
12.0100002	75.4300003	1.73
10.4700003	40.5299988	1.73
12	76.6800003	1.73
14.1300001	72.8700027	1.73
12.8999996	44.0600014	1.73
14.4399996	65.2399979	2.4000001
15.0200005	59.9199982	1.64
13.7399998	8.3500004	2.1300001
13.3500004	77.0400009	2.1300001
