BC Sample		
length	angle	Dpar
14.75	37.09	1.63
14.99	17.55	1.63
14.36	51.67	1.55
16.59	39.79	1.19
15.39	28.47	1.19
13.89	32.62	1.48
14.88	78.07	1.37
16.21	36.43	1.37
16.11	35.99	1.37
12.99	67.93	1.65
15.06	77.59	1.52
13.91	87.37	1.52
13.68	58.56	1.52
15.03	44.72	1.52
14.73	57.67	1.52
15.08	62.39	1.41
14.03	41.47	1.41
14.7	48.74	1.8
13.75	66.82	1.48
13.93	66.18	1.77
15.1	54.46	1.77
14.12	68.29	1.4
14.77	38.49	1.4
13.87	57.03	1.4
15.44	22.74	1.71
10.96	69.86	1.71
14.11	59.86	1.74
14.22	14.73	1.74
15.45	68.06	1.44
14.16	51.53	1.44
14.48	89.81	1.34
14.49	88.08	1.63
14.05	69.16	1.59
14.26	67.51	1.32
12.98	53.71	1.32
13.68	78.94	1.52
13.84	78.64	1.32
12.72	70.66	1.58
15.36	57.93	1.74
15.17	54.78	1.74
14.57	52.91	1.74
13.27	88.65	1.85
13.76	79.71	1.64
16.64	48.82	1.64
15.13	35.51	1.64
13.53	79.74	1.64
15.27	41.93	1.64
14.24	56.69	1.64
13.7	58.65	1.79
16.46	40.24	1.79
13.48	76.13	1.41
14.94	27.71	1.41
16.21	41.39	1.41
13.33	41.59	1.5
14.43	61.45	1.5
15.82	61.84	1.84
13.62	75.34	1.84
15.37	52.22	1.84
16.45	67.57	1.86
11.44	89.1	1.86
15.8	64.84	1.86
14.3	68.07	1.64
15.11	85.47	1.64
14.99	88.89	1.78
14.18	86.09	1.66
13.61	58.1	1.66
13.27	73.07	1.66
14.32	56.89	1.66
